what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1340272736769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272743534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1340272743582
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1340272745448
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1340272745468
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1340272746592
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1340272746595
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340272756631
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340272756637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272761820
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1340272787084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272788365
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1340272788486
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340272790314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340272790660
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1340272790794
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340272790828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340272790997
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1340272813194
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1340272813231
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1340272813279
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1340272813292
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1340272813349
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1340272813369
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1340272813507
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1340272813509
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1340272813751
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1340272813938
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1340272813999
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1340272814015
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1340272814026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340272848170
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1340272870771
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1340272870902
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1340272870921
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1340272871037
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1340272871227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272871706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272873807
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340272874592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272889555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272891218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272901143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272902454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272920591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340272927676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272932314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272932823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272933120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272933512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272933848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272934208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272934537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272934792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272935216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272935561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272947302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272947496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272947688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272947912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272948368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272957608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272957791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272957983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272958166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340272958391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340273186172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273314247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273315365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273363307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273365582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1340273381649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273435602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273437175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273437601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273442446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273552176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273554463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340273595131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273628190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273629259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273644679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273645722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273717302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273718212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273746774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273747632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273758968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273759761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273760056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273761770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273808342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340273809265
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.textStart",1340273869013
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.select.previous",1340273872280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340273880727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340273882078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340274003212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340274004513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340274112622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340274114356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340274191944
